PIVOT;DIRECT;Evaluateur;ID_Phrase;Source_Classique;Reference_Moderne;Pred_W2M_Moderne;Reference_Anglais;Pred_Cascade_Anglais;Pred_Direct_Anglais
2;5;Personne A;11954;Time: ANCIENT (Ancient Period). Text: 今泄之，其命也夫！;如今泄露了，大概也是命里注定吧！;现在泄露了他们的性命，这是我们的命啊！;Now that it's leaked, it's probably fate!;Now their lives are revealing their lives. This is our live!;Now that you have leaked it, it is my fate!
2;1;Personne A;80148;Time: MING (1368 – 1644 AD). Text: 王振谓杨士奇等曰： 朝廷事亏三杨先生，然三公亦高年倦勤矣。其后当如何？;原文明朝宦官王振对杨士奇等人说： 朝廷的政事多亏三位杨先生的尽心尽力，然而三位先生年纪也大了，不知道日后有什么打算呢？;王振对杨士奇等人说： 朝廷的事情亏损了三杨先生，然而三公也是高龄老人已经疲倦了，后来应当怎么办呢？;"As recorded in the Ming History, the eunuch Wang Zhen of the Ming Dynasty said to Yang Shiqi and others, ""The court affairs have depended on the conscientious efforts of the three Master Yangs. However, the three Masters are now old. I wonder what they intend to do in the future?""";Wang Zhen said to Yang Shiqi and others: The court's affairs have devilted the three Yang masters, but the Three Dukes are already tired and tired. What should we do in the future?;Wang Zhen said to Yang Shiqi and others: The court has been damaging the three Yang family, but the Three Dukes are also very tired and work. How should they be late?
1;1;Personne A;80111;Time: ANCIENT (Ancient Period). Text: 其后渐蒙见任，复为疾病，转相因仍，莫正其本。;在这之后校事渐渐蒙受宠信得到任用，又成为隐患，又沿袭之前的情况，没有人能归正其根本。;后来，他渐渐被任用，又成了疾病，转相因循旧例，没有人能改正其本。;After this, school affairs gradually gained favor and were used, and became a hidden danger again, and the previous situation was still followed, and no one was able to correct its foundation.;Later, he gradually became an official and became a sick. He was transferred to follow the old example, and no one could correct his original procedure.;Later, he gradually received the position of method of previous recommendations, becoming ill and was sick, and the transfer of the position was still in accordance with the results.
5;3;Personne A;1381;Time: ANCIENT (Ancient Period). Text: 冬十月乙卯，享于太庙。;冬季，十月初七，向太庙敬献祭品。;冬十月初三，祭祀太庙。;In winter, on the 7th of October, a sacrifice was offered to the Temple of Heaven.;On the 3rd of the 10th month of winter, sacrifices were offered to the Imperial Ancestral Temple.;On the 10th of the tenth month of winter, sacrifices were offered at the Imperial Ancestral Temple.
1;2;Personne A;33860;Time: ANCIENT (Ancient Period). Text: 旷也，太师也。不以诏，是以饮之也。;师旷是掌乐的太师，而不把这个道理告诉给您，所以我要罚他喝酒。;这是因为旷病而太师，不用诏令，所以就喝了。;Shi Kuang is the Grand Master of Music, but he did not remind you of this, so I have made him drink as a punishment.;This was because of the grand preceptor, not using an imperial edict, so he drank it.;Kuang is the Grand Master, but he does not issue an edict to drink it.
1;2;Personne A;80332;Time: THREE_KINGDOMS (220 – 280 AD). Text: 后复结陈向城，珽乘马自出，令录事参军王君植率兵马，仍亲临战。;后来，贼兵又列队攻城，他骑马带队，命录事参军王军植率领兵马，他亲临战阵。;后来又与陈居贞结交，向城里进发，祖珽乘马亲自出战，命令录事参军王君植率兵马，并亲临战场。;Later, the rebel soldiers lined up to attack the city again. He rode a horse and led the team, ordered the clerk and staff member Wang Junzhi to lead the troops, and he himself went to the battlefield.;Later, he made friends with Chen Juzhen and advanced in the city. Zu Ting personally went out to battle in person, ordered the recorder Wang Junzhi to lead the troops and personally attended the battlefield.;Later, he colluded with the Chen Dynasty again. Zu Ting rode a horse and ordered Wang Junzhi, the recorder and military advisor, to lead the troops to fight against the enemy.
5;4;Personne A;13555;Time: ANCIENT (Ancient Period). Text: 五月甲戌朔。;五月初一为甲戌日。;五月初一为甲戌日。;The first day of May was the day of Jiaxu.;The first day of May was Jiaxu Day.;The first day of May is Jiaxu.
2;1;Personne A;3769;Time: SONG (960 – 1279 AD). Text: 上丁，入学习吹。;这个月上旬的丁日，进入太学练习吹笙竽，演习礼物。;上丁，入学练习。;On the Ding day (the 4th) of the first decade of this month, enter the Imperial College to practice playing the reed pipes and rehearse the ceremonial dances.;Shang Ding, entered the learning.;On the Dingding, the school was practiced in the school.
1;1;Personne A;21471;Time: ANCIENT (Ancient Period). Text: 今区区之许攸，何足以劳神武哉！;如今区区一个许攸，怎么值得劳动您的英明神武呢！;现在区区的许攸，哪里用得着劳神武呢！;Now a mere Xu You, why is he worthy of your sagacity and martial prowess?;Xu You, the area, is now working hard for Shenwu!;Now that Xu You is not enough to make the conquest of the God's martial arts!
4;1;Personne A;31056;Time: ANCIENT (Ancient Period). Text: 是岁，命王渊、张俊讨陈州叛兵，刘光世讨黎驿叛兵，乔仲福讨京东贼李昱，世忠讨单州贼鱼台。;这年，朝廷命王渊、张俊讨伐陈州的叛兵，刘光世讨伐黎驿的叛兵，乔仲福讨伐京东的叛贼李昱，韩世忠讨伐单州叛贼鱼台。;这一年，命令王渊、张俊讨伐陈州叛军，刘光世讨伐黎驿叛兵，乔仲福讨伐京东贼寇李昱，韩世忠讨伐单州贼鱼台。;In this year, the imperial court ordered Wang Yuan, Zhang Jun to attack the rebels in Chenzhou, Liu Guangshi to attack the rebels in Liyi, Qiao Zhongfu to attack the rebel Li Yu in the east of Beijing, and Han Shizhong to attack the rebel Yutai in the single state.;In this year, Wang Yuan and Zhang Jun were ordered to quell the rebel forces of Chen Prefecture. Liu Guangshi attacked the Li Si rebels. Qiao Zhongfu attacked the bandits Li Yu in the east of the capital, and Han Shizhong attacked the Yutai in Danzhou.;In this year, Emperor Xuanzong of Tang ordered Wang Yuan and Zhang Jun to attack the rebellious troops of Chen Prefecture. Liu Guangshi attacked the rebels of Li Si and Qiao Zhongfu attacked the rebel Li Yu in the east of the capital, and Han Shizhong attacked the rebel Yutai in Dan Prefecture.
